experiment,seed,task,model,epochs,final_closed_test_loss,final_open_test_loss,peak_open_test_loss,peak_closed_test_loss,trajectory_gain_distance,open_loop_test_loss_spike,closed_loop_plateau,plateau_length,stage1_end,plateau_end,stability_crossing,stability_to_plateau_gap,final_closed_coupled_radius,closed_recovered,claim_C1_divergence,claim_C2_stages,claim_C3_stability_transition,requested_device,resolved_device,runtime_seconds,perturbation
robustness_lr_high,4,double_integrator,tanh_rnn,1000,0.08307484992360997,0.14807683656094014,126.08653475046158,689.6725131201744,0.37842955228107256,False,False,0,39,39,39.0,0.0,0.6247807208776908,True,True,False,True,cuda,cuda,136.2460973262787,lr_high
robustness_lr_high,5,double_integrator,tanh_rnn,1000,0.08290300992257815,0.1760882905125618,165.89774455308915,165.89774455308915,0.416093622325513,False,False,0,44,44,44.0,0.0,0.6269979024405814,True,True,False,True,cuda,cuda,137.22417902946472,lr_high
robustness_lr_high,6,double_integrator,tanh_rnn,1000,0.08306117361776615,0.18546174109214916,33.592188193798066,33.592188193798066,0.4261819982797465,False,False,0,44,44,44.0,0.0,0.6255708069103574,True,True,False,True,cuda,cuda,137.91458415985107,lr_high
robustness_lr_high,7,double_integrator,tanh_rnn,1000,0.0832892535027023,0.24652475414797664,434.19455688476563,434.19455688476563,0.46449636258002647,False,False,0,47,47,47.0,0.0,0.6310936739323392,True,True,False,True,cuda,cuda,137.63668417930603,lr_high
robustness_lr_high,8,double_integrator,tanh_rnn,1000,0.08322934920955798,0.16279402996849968,26.457200717926025,37.651653761863706,0.3972778112405364,False,False,0,41,41,41.0,0.0,0.6294472480705621,True,True,False,True,cuda,cuda,137.87381172180176,lr_high
robustness_lr_high,9,double_integrator,tanh_rnn,1000,0.08315637801839293,0.1623200410438585,12.149343402385712,12.149343402385712,0.39775295754340395,False,False,0,40,40,40.0,0.0,0.6251829608086398,True,True,False,True,cuda,cuda,137.7447485923767,lr_high
robustness_lr_high,10,double_integrator,tanh_rnn,1000,0.08306320929691902,0.16920113453350497,357.2121771097183,357.2121771097183,0.4041233255096562,False,False,0,41,41,41.0,0.0,0.6304882005821142,True,True,False,True,cuda,cuda,138.4862630367279,lr_high
robustness_lr_high,11,double_integrator,tanh_rnn,1000,0.08301354708698588,0.1904864055546932,19.73717726945877,173.63393408298492,0.4284181581327609,False,False,0,44,44,44.0,0.0,0.6241331559377448,True,True,False,True,cuda,cuda,137.9851634502411,lr_high
robustness_lr_high,12,double_integrator,tanh_rnn,1000,0.08343971917542509,0.21013351439498365,177022.9209902668,177022.9209902668,0.4403813269691434,False,False,0,48,48,48.0,0.0,0.6276140406334522,True,True,False,True,cuda,cuda,136.21676230430603,lr_high
robustness_lr_high,13,double_integrator,tanh_rnn,1000,0.08315606148194556,0.1918228962738067,9545.464770712853,9545.464770712853,0.4251686261365454,False,False,0,45,45,45.0,0.0,0.627137474985824,True,True,False,True,cuda,cuda,135.4918713569641,lr_high
robustness_lr_high,14,double_integrator,tanh_rnn,1000,0.08318697948410542,0.22722350301221014,25.892375702857972,25.892375702857972,0.45278543661149534,False,False,0,40,40,40.0,0.0,0.6365889025417164,True,True,False,True,cuda,cuda,136.47197651863098,lr_high
robustness_init_weak,0,double_integrator,tanh_rnn,1000,0.09319111236380362,0.30008290137619836,334.36015012741086,334.36015012741086,0.5087263748691391,False,False,0,58,58,58.0,0.0,0.6960949876023976,True,True,False,True,cuda,cuda,137.82357549667358,init_weak
robustness_init_weak,1,double_integrator,tanh_rnn,1000,0.09359007656915364,0.36455438645008714,468687.11692009924,468687.11692009924,0.5445725872416011,False,False,0,82,82,82.0,0.0,0.6906901263707662,True,True,False,True,cuda,cuda,137.81210923194885,init_weak
robustness_init_weak,2,double_integrator,tanh_rnn,1000,0.09302232444708243,0.3193800467189257,177892.1489498377,177892.1489498377,0.5238683280656894,False,False,0,72,72,72.0,0.0,0.6889313675086925,True,True,False,True,cuda,cuda,137.19558596611023,init_weak
robustness_init_weak,3,double_integrator,tanh_rnn,1000,0.09322720900604599,0.27504733590634467,54.584950580596924,54.584950580596924,0.4989698156999088,False,False,0,52,52,52.0,0.0,0.6938446046010188,True,True,False,True,cuda,cuda,136.21532583236694,init_weak
robustness_init_weak,4,double_integrator,tanh_rnn,1000,0.09246631987264736,0.28674469312187284,124.57932557821273,124.57932557821273,0.472117859226992,False,False,0,49,49,49.0,0.0,0.6874366221915097,True,True,False,True,cuda,cuda,137.90951442718506,init_weak
robustness_init_weak,5,double_integrator,tanh_rnn,1000,0.09228505058343256,0.30508884786395357,166.84643897294998,166.84643897294998,0.5039402999390508,False,False,0,54,54,54.0,0.0,0.6869925800587408,True,True,False,True,cuda,cuda,138.27788758277893,init_weak
